// Mario
// Criação:		14 Fev 2013
// Atualização:	14 Fev 2013
// Descrição:   Posição das plataformas e obstáculos do nível 2
//
//
//	posX	posY	platType
	-500	200		9
	0493	200		9
	1486	200		9
	0000	584		8
	0636	584		8
	-100	503		7
	0000	450		10
	0030	450		10
	-060	370		10
	-090	370		10
	0030	306		10
	0060	306		10
	0170	306		10
	0200	306		10
	0300	250		10
	0330	250		10
	0450	250		10
	0480	250		10
	0550	150		10
	0580	150		10
	0650	250		10
	0680	250		10
	0750	150		10
	0780	150		10
	0810	150		10
	0840	150		10
	0870	150		10
	0900	150		10
	0930	150		10
	0960	150		10
	1100	420		15
